210
5
16.20	0.8984	6.172	3.796	6.053
16.29	0.8906	6.272	3.693	6.053
16.05	0.9066	6.037	3.860	5.877
16.52	0.8452	6.666	3.485	6.448
15.65	0.8648	6.139	3.463	5.967
16.59	0.8815	6.341	3.810	6.238
16.57	0.8687	6.449	3.552	6.453
16.26	0.8637	6.271	3.512	6.273
16.34	0.8810	6.219	3.684	6.097
15.25	0.8866	5.718	3.525	5.618
15.86	0.8992	5.890	3.694	5.837
16.50	0.8985	6.113	3.892	6.009
16.63	0.8717	6.369	3.681	6.229
16.42	0.8829	6.248	3.755	6.148
16.29	0.8917	6.037	3.786	5.879
16.17	0.9056	6.152	3.806	6.200
15.86	0.8800	6.033	3.573	5.929
16.92	0.8752	6.675	3.763	6.550
16.22	0.8865	6.153	3.674	5.894
16.12	0.8921	6.107	3.769	5.794
16.72	0.8716	6.303	3.791	5.965
16.31	0.9035	6.183	3.902	5.924
16.61	0.8722	6.259	3.737	6.053
17.25	0.8859	6.563	3.991	6.316
16.45	0.8854	6.416	3.719	6.163
16.20	0.9077	6.051	3.897	5.750
16.45	0.8890	6.245	3.815	6.185
16.23	0.9008	6.227	3.769	5.966
16.90	0.8811	6.493	3.857	6.320
16.91	0.8897	6.315	3.962	6.188
16.12	0.8772	6.059	3.563	6.011
15.38	0.8588	5.762	3.387	5.703
15.97	0.9077	5.980	3.771	5.905
14.89	0.9064	5.363	3.582	5.144
16.18	0.8999	6.111	3.869	5.992
16.41	0.8698	6.285	3.594	6.102
15.85	0.8993	5.979	3.687	5.919
17.03	0.8735	6.513	3.773	6.185
15.66	0.8991	5.791	3.690	5.661
15.89	0.9108	5.979	3.755	5.962
16.32	0.8942	6.144	3.825	5.949
14.90	0.8706	5.884	3.268	5.795
15.33	0.8644	5.845	3.395	5.795
14.89	0.8823	5.776	3.408	5.847
14.66	0.8990	5.477	3.465	5.439
15.76	0.8785	6.145	3.574	5.971
15.15	0.8527	5.920	3.231	5.879
15.11	0.8580	5.832	3.286	5.752
15.18	0.8850	5.872	3.472	5.922
13.92	0.8480	5.472	2.994	5.395
13.94	0.8613	5.541	3.073	5.440
13.95	0.8620	5.389	3.074	5.307
13.32	0.8652	5.224	2.967	5.221
13.40	0.8274	5.314	2.777	5.178
13.13	0.8167	5.279	2.687	5.275
13.13	0.8335	5.176	2.719	5.132
13.46	0.8658	5.267	2.967	5.002
13.71	0.8491	5.386	2.911	5.316
12.93	0.8107	5.317	2.648	5.194
13.23	0.8496	5.263	2.840	5.307
13.52	0.8249	5.405	2.776	5.270
13.60	0.8333	5.408	2.833	5.360
13.04	0.8266	5.220	2.693	5.001
13.05	0.8382	5.175	2.755	5.263
13.05	0.8253	5.250	2.675	5.219
12.87	0.8596	5.053	2.849	5.003
13.73	0.8081	5.394	2.745	5.220
13.52	0.8082	5.444	2.678	5.310
13.22	0.8263	5.304	2.695	5.310
13.67	0.8425	5.451	2.879	5.491
13.33	0.8503	5.350	2.810	5.308
13.41	0.8416	5.267	2.847	5.046
13.57	0.8558	5.333	2.968	5.176
12.79	0.8558	5.011	2.794	5.049
13.15	0.8793	5.105	2.941	5.056
13.59	0.8462	5.319	2.897	5.270
13.45	0.8443	5.417	2.837	5.338
13.12	0.8291	5.176	2.668	5.132
13.00	0.8359	5.090	2.715	5.088
13.00	0.8189	5.325	2.701	5.163
13.10	0.8455	5.167	2.845	4.956
12.97	0.8419	5.088	2.763	5.000
13.08	0.8375	5.136	2.763	5.089
12.96	0.8099	5.278	2.641	5.185
12.57	0.8590	4.981	2.821	5.063
13.01	0.8355	5.186	2.710	5.092
12.73	0.8329	5.145	2.642	4.963
13.05	0.8473	5.180	2.758	5.002
13.47	0.8453	5.357	2.893	5.178
12.95	0.8560	5.090	2.775	4.825
13.41	0.8706	5.236	3.017	5.147
13.36	0.8579	5.240	2.909	5.158
13.07	0.8575	5.108	2.850	5.135
13.77	0.8541	5.495	3.026	5.316
13.31	0.8198	5.363	2.683	5.182
13.45	0.8198	5.413	2.716	5.352
12.80	0.8372	5.088	2.675	4.956
12.82	0.8594	5.089	2.821	4.957
12.41	0.8648	4.899	2.787	4.794
12.80	0.8390	5.046	2.717	5.045
12.86	0.8563	5.091	2.804	5.001
13.02	0.8795	5.132	2.953	5.132
12.83	0.8256	5.180	2.630	5.089
13.27	0.8639	5.236	2.975	5.012
13.47	0.8860	5.160	3.126	4.914
13.53	0.8786	5.224	3.054	4.958
13.78	0.8849	5.320	3.128	5.091
13.67	0.8481	5.410	2.911	5.231
13.38	0.8964	5.073	3.155	4.830
13.44	0.8609	5.219	2.989	5.045
13.32	0.8977	4.984	3.135	4.745
12.72	0.8680	5.009	2.810	4.828
13.41	0.8874	5.183	3.091	5.000
13.47	0.8567	5.204	2.960	5.001
13.20	0.8783	5.137	2.981	4.870
12.88	0.8511	5.140	2.795	5.003
13.66	0.8883	5.236	3.232	5.056
13.21	0.8521	5.175	2.836	5.044
13.34	0.8684	5.243	2.974	5.063
